,Unnamed: 0.1,Title,Genre,Summary,Year,Rating,Metascore,Votes,Runtime,Actors
64,64,mr. robot,crime drama thriller,elliot a brilliant but highli unstabl young cybersecur engin and vigilant hacker becom a key figur in a complex game of global domin when he and hi shadowi alli tri to take down the corrupt corpor he work forelliot a brilliant but highli unstabl young cybersecur engin and vigilant hacker becom a key figur in a complex game of global domin when he and hi shadowi alli tri to take down the corrupt corpor he work for elliot is a brilliant introvert young programm who work as a cybersecur engin by day and vigilant hacker by night he also happen to be suffer from a strang condit similar to schizophrenia which he futil tri to keep under control by regularli take both legal and illeg drug and visit hi therapist when a strang feisti young woman name darlen and a secret middleag man call himself mr robot who claim to be the mysteri leader of an underground hack group known as fsocieti offer elliot a chanc to take hi vigilant to the next level and help them take down ecorp the corrupt multin financi compani that elliot work for and like to call evil corp elliot find himself at the crossroad mr robot who ha person reason for want to take down ecorp also reveal that he alreadi ha one alli an even more mysteri secret and highli danger shadowi hack group known onli as dark armi meanwhil elliot childhood and onli friend angela who blame ecorp for the death of their parent tri to take down ecorp legal by join their rank and tri to dig up evid of their corrupt from the insid a wild card in thi scheme becom tyrel wellick an unhing psychopath ecorp yuppi origin from scandinavia who ha a veri unusu relationship with hi domin and ambiti wife joanna after mani twist and turn mr robot plan is final put in motion with catastroph unintend result but that just the end of the begin of the real stori mr robot follow elliot a young programm who work as a cybersecur engin by day and as a vigilant hacker by night elliot find himself at a crossroad when the mysteri leader of an underground hacker group recruit him to destroy the firm he is paid to protect compel by hi person belief elliot struggl to resist the chanc to take down the multin ceo he believ are run and ruin the world eventu he realiz that a global conspiraci doe exist but not the one he expect young antisoci comput programm elliot work as a cybersecur engin dure the day but at night he is a vigilant hacker he is recruit by the mysteri leader of an underground group of hacker to join their organ elliot task help bring down corpor america includ the compani he is paid to protect which present him with a moral dilemma although he work for a corpor hi person belief make it hard to resist the urg to take down the head of multin compani that he believ are run and ruin the world,2015,8.6,,274248.0,49,"Rami Malek, Christian Slater, Portia Doubleday, Carly Chaikin"
65,65,big little lies,crime drama mysteri,the appar perfect live of three mother of first grader unravel to the point of murderth appar perfect live of three mother of first grader unravel to the point of murder when madelin and celest take newintown singl mom jane under their wing none of them realiz how the arriv of jane and her inscrut littl boy will affect them all big littl lie is a brilliant take on exhusband and second wive schoolyard scandal and the danger littl lie we tell ourselv just to surviv a darkli comed tale of murder and mischief in the tranquil beachfront town of monterey calif amidst dote mom success husband beauti children and stun home exist a commun fuel by rumor and divid into have and havenot expos fractur relationship between husband and wive parent and children and friend and neighbor told through the eye of three mother madelin celest and jane the seri narr explor societi myth regard perfect and it romantic of marriag sex parent and friendship,2017,8.6,,98848.0,60,"Cameron Crovetti, Nicholas Crovetti, Reese Witherspoon, Nicole Kidman"
66,66,impractical jokers,comedi realitytv,q sal joe and murr are reallif best friend who love challeng each other to the most outrag dare and stunt ever caught on hidden cameraq sal joe and murr are reallif best friend who love challeng each other to the most outrag dare and stunt ever caught on hidden camera each episod contain a regim of multipl challeng in team independ or against specif joker in a head to head challeng everi time they fail to complet a task the joker will receiv a red thumb down the joker with the most thumb down after the seri of challeng is the loser who ha to complet an extrem embarrass or difficult task in which the joker cannot say no to these loser challeng have consist of danger stunt and some scari scene,2011,8.6,,27507.0,30,"Brian Quinn, James Murray, Sal Vulcano, Joe Gatto"
67,67,feud,biographi drama,plan antholog seri center on famou feud includ bett davi and joan crawford that wa cancel after it first seasonplan antholog seri center on famou feud includ bett davi and joan crawford that wa cancel after it first season tell the stori of the legendari rivalri between joan crawford jessica lang and bett davi susan sarandon dure their collabor on the academi award nomin thriller what ever happen to babi jane and after the camera stop roll the seri explor how the two women endur ageism and misogyni while struggl to hang on to success and fame in the twilight of their career feud is an antholog seri which dramat specif period of real life feud focus on one feud per season in season one the feud between legendari hollywood actress joan crawford and bett davi is present although their mutual dislik is well known befor their first and onli profession collabor on what ever happen to babi jane which is at the seem twilight of their profession live as actress other around them may have their own motiv for fuel that dislik the two actress may fall prey to those extern machin despit both women need to work togeth toward a common goal of a movi success and thu profession surviv what ever happen to babi jane costar joan crawford and bett davi two of the most prolif actress in the histori of hollywood had a famou feud while shoot the film thi docudrama from emmywin produc ryan murphi american horror stori recal the detail of the legendari rivalri the oscarwin actress had while film the movi and extend well after the camera stop roll feud recal how the ladi struggl to hang on to fame in the twilight of their career as they face such obstacl such as ageism sexism and misogyni lead the acclaim cast are jessica lang and susan sarandon portray crawford and davi respect who have won three oscar between them,2017,8.6,,13907.0,45,"Jessica Lange, Susan Sarandon, Judy Davis, Jackie Hoffman"
68,68,the newsroom,drama,a newsroom undergo some chang in it work and moral as a new team is brought in bring unexpect result for it exist news anchora newsroom undergo some chang in it work and moral as a new team is brought in bring unexpect result for it exist news anchor a news team attempt to creat a news show that report the news in an ethic and reason way they take real newsworthi event from our world as theyr happen such as bin laden justifi kill nsa spi etc and report on them as if they were an actual news station that follow ration and moral guidelin in a bite critic of our popular press and a clever blur of art and realiti,"2012, 2014",8.6,,95084.0,55,"Jeff Daniels, Emily Mortimer, John Gallagher Jr., Alison Pill"
69,69,through the wormhole,documentari,host by morgan freeman through the wormhol will explor the deepest mysteri of exist the question that have puzzl mankind for etern what are we made of what wa there see full summari host by morgan freeman through the wormhol will explor the deepest mysteri of exist the question that have puzzl mankind for etern what are we made of what wa there befor the begin are we realli alon is there a creator these question have been ponder by the most exquisit mind of the human race now scienc ha evolv to the point where hard fact and evid may be abl to provid us with answer instead of philosoph theori through the wormhol will bring togeth the brightest mind and best idea from the veri edg of scienc astrophys astrobiolog quantum mechan string theori and more to reveal the extraordinari truth of our univers,"2010, 2017",8.6,,15590.0,60,"Morgan Freeman, Sean Carroll, Michio Kaku, Carlos Frenk"
70,70,louie,comedi drama,the life of louie ck a divorc comedian live in new york with two kidsth life of louie ck a divorc comedian live in new york with two kid louie is a standup comedian and divorc father of two girl thi seri follow him through hi everyday life as he meet variou charact struggl with hi love life and pursu humor,"2010, 2015",8.6,,70134.0,22,"Louis C.K., Hadley Delany, Ursula Parker, Pamela Adlon"
71,71,justified,action crime drama,oldschool us marshal raylan given is reassign from miami to hi childhood home in the poor rural coal mine town in eastern kentuckyoldschool us marshal raylan given is reassign from miami to hi childhood home in the poor rural coal mine town in eastern kentucki us marshal raylan given is a modern day nineteenth centurystyl lawman enforc hi brand of justic in a way that put a target on hi back with crimin and place him at odd with hi boss in the marshal servic that conflict result in a reassign for given to the us district cover the town where he grew up he is an anachron a tough softspoken gentleman who find hi quarri fascin but never give an inch dig under hi placid skin and youll find an angri man who grew up hard in rural kentucki with an outlaw father who know a lot more about who he doesnt want to be than who he realli is,"2010, 2015",8.6,,76326.0,44,"Timothy Olyphant, Nick Searcy, Joelle Carter, Jacob Pitts"
72,72,adventure time,anim action adventur,a yearold boy and hi best friend wise yearold dog with magic power go on a seri of surreal adventur with each othera yearold boy and hi best friend wise yearold dog with magic power go on a seri of surreal adventur with each other,"2010, 2018",8.6,,64933.0,11,"John DiMaggio, Jeremy Shada, Tom Kenny, Hynden Walch"
73,73,parks and recreation,comedi,the absurd antic of an indiana town public offici as they pursu sundri project to make their citi a better placeth absurd antic of an indiana town public offici as they pursu sundri project to make their citi a better place lesli knope a midlevel bureaucrat in an indiana park and recreat depart hope to beautifi her town and boost her own career by help local nurs ann perkin turn an abandon construct site into a commun park howev what should be a fairli simpl project is stymi at everi turn by oafish bureaucrat selfish neighbor government red tape and a myriad of other challeng lesli colleagu tom haverford who delight in exploit hi posit for person gain is as like to undermin her effort as to help her while her boss ron swanson is adamantli oppos to govern in ani form even though he a bureaucrat,"2009, 2015",8.6,,173400.0,22,"Amy Poehler, Jim O'Heir, Nick Offerman, Chris Pratt"
74,74,sons of anarchy,crime drama thriller,a biker struggl to balanc be a father and be involv in an outlaw motorcycl cluba biker struggl to balanc be a father and be involv in an outlaw motorcycl club son of anarchi aka samcro is a motorcycl club that oper both illeg and legal busi in the small town of charm they combin gunrun and a garag plu involv in porn film clay the presid like it old school and violent while jax hi stepson and the club vp ha thought about chang the way thing are base on hi dead father journal their conflict ha effect on both the club and their person relationship when jackson jax teller discov that hi father had a differ view in mind for samcro son of anarchi motorcycl club redwood origin he goe on a person quest to clens the name and make the club a better place but at what cost,"2008, 2014",8.6,,228521.0,45,"Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates"
75,75,boardwalk empire,crime drama histori,an atlant citi new jersey politician play both side of the law conspir with gangster dure the prohibit eraan atlant citi new jersey politician play both side of the law conspir with gangster dure the prohibit era set in the prohibit era of the s boardwalk empir is the stori of enoch nucki thompson the treasur of atlant counti atlant citi new jersey due to hi relationship with mobster as well as polit contact the feder govern start to take an interest in him hi lavish lifestyl seem at odd with hi posit and as well as hi connect there is prolif bootleg in the area,"2010, 2014",8.6,,158482.0,55,"Steve Buscemi, Kelly Macdonald, Michael Shannon, Shea Whigham"
76,76,flight of the conchords,comedi music music,bret and jemain are flight of the conchord a folkrock band from new zealand live in new york citi in search of stardombret and jemain are flight of the conchord a folkrock band from new zealand live in new york citi in search of stardom two new zealand friend experi life love friendship all the usual stuff while tri to make their live as a rock band a rock band that can onli schedul a perform at the local aquarium is run by an eager and overambiti new zealand buddi and ha onli one fan,"2007, 2009",8.6,,50521.0,28,"Jemaine Clement, Bret McKenzie, Rhys Darby, Kristen Schaal"
77,77,mad men,drama,a drama about one of new york most prestigi ad agenc at the begin of the s focus on one of the firm most mysteri but extrem talent ad execut donald drapera drama about one of new york most prestigi ad agenc at the begin of the s focus on one of the firm most mysteri but extrem talent ad execut donald draper the profession and person live of those who work in advertis on madison avenu selfcoin mad men in the s are present the stori focu on those at one of the avenu smaller firm sterl cooper and it variou incarn over the decad at the heart of these stori is donald draper the creativ geniu of the compani that profession creativ brillianc beli the fact of a troubl childhood one that he would rather forget and not let anyon know about except for a select few but one that shape who he is as an adult and as an ad man in the need not onli to sell product but sell himself to the outsid world hi outward confid also mask mani insecur as evidenc through hi mani vice such as excess smoke drink and woman the latter despit be a famili man and how he deal with the aftermath of some of the neg aspect of hi life in s new york alpha male don draper struggl to stay on top of the heap in the highpressur world of madison avenu advertis firm asid from be one of the top ad men in the busi don is also a famili man the father of young children the live of the men and women who work in an advertis agenc in new york in the s the agenc is enjoy success but the advertis game becom more competit as the industri develop the agenc must adapt to ensur it surviv don draper is a talent ad execut at the top of hi game but the secret from hi past and hi present threaten to toppl hi work and famili life,"2007, 2015",8.6,,178210.0,47,"Jon Hamm, Elisabeth Moss, Vincent Kartheiser, January Jones"
78,78,justice league,anim action adventur,seven of the most formid hero form arguabl the most power team everfuel by hi restor faith in human and inspir by superman selfless act bruce wayn enlist the help of hi newfound alli diana princ to face an even greater enemi fuel by hi restor faith in human and inspir by superman selfless act bruce wayn enlist the help of hi newfound alli diana princ to face an even greater enemi togeth batman and wonder woman work quickli to find and recruit a team of metahuman to stand against thi newli awaken threat but despit the format of thi unpreced leagu of heroesbatman wonder woman aquaman cyborg and the flashit may alreadi be too late to save the planet from an assault of catastroph proport in the wake of clark kent superman death at the hand of doomsday in bv vigilant bruce wayn batman reevalu hi extrem method and begin reach out to extraordinari hero to assembl a team of crime fighter to defend earth from all kind of threat they face off against steppenwolf the herald and second in command to alien warlord darkseid who is charg by darkseid with hunt down three artifact hidden on earth after the event of doomsday bruce and diana search the world onli to find three extraordinari metahuman as new enemi aris batman wonder woman the flash cyborg and aquaman must form the well known allianc justic leagu to save the world from mount destruct month after the event of batman v superman dawn of justic and inspir by superman appar sacrific for human bruce wayn and diana princ assembl a team of metahuman consist of barri allen arthur curri and victor stone to face the catastroph threat of steppenwolf and hi armi of parademon who are on the hunt for three mother box on earth when the evil and power steppenwolf return to earth with hi demon after the death of superman he retriev the mother box from the paradis island queen hippolyta warn her daughter diana princ about the menac to the planet and the wonder woman meet batman to discuss how defend earth meanwhil steppenwolf retriev the second mother box from atlanti and batman and wonder woman team up with the flash aquaman and cyborg with the support of alfr to protect the last mother box entrust to human but batman conclud that they do not have enough power to save the world and propos to use the power of the box to reviv superman despit the risk will hi plan work thousand of year ago steppenwolf and hi legion of parademon attempt to take over earth with the combin energi of three mother box they were foil by a unifi armi that includ the olympian god amazon atlantean mankind and a green lantern after repel steppenwolf armi the mother box were separ and hidden in locat on the planet in the present mankind is in mourn over superman whose death trigger the mother box to reactiv and steppenwolf return to earth in an effort to regain favor with hi master darkseid steppenwolf aim to gather the box to form the uniti which will destroy earth ecolog and terraform it in the imag of steppenwolf homeworld,2017,6.5,,322307.0,120,"Zack Snyder, Ben Affleck, Gal Gadot, Jason Momoa, Ezra Miller"
79,79,homicide: life on the street,crime drama mysteri,a polic homicid investig unit investig violent crime in the citi of baltimorea polic homicid investig unit investig violent crime in the citi of baltimor a onehour drama inspir by david simon acclaim nonfict book homicid a year on the kill street it is at onc a mundan yet compel look in and around a homicid unit of the baltimor polic depart a group of determin individu who are commit to their grim job at hand,"1993, 1999",8.6,,10436.0,60,"Richard Belzer, Clark Johnson, Yaphet Kotto, Kyle Secor"
80,80,star trek: the next generation,action adventur mysteri,set almost year after captain kirk fiveyear mission a new gener of starfleet offic set off in the uss enterpris on their own mission to go where no one ha gone beforeset almost year after captain kirk fiveyear mission a new gener of starfleet offic set off in the uss enterpris on their own mission to go where no one ha gone befor set in the twentyfourth centuri and seven to eight decad after the adventur of the origin crew of the starship enterpris thi new seri is the longawait successor to star trek under the command of captain jeanluc picard the all new enterpris ncc d travel out to distant planet to seek out new life and to boldli go where no one ha gone befor,"1987, 1994",8.6,,85664.0,44,"Patrick Stewart, Brent Spiner, Jonathan Frakes, LeVar Burton"
81,81,the bugs bunny show,anim comedi,bug bunni the famou oscarwin cartoon rabbit host hi first weekli televis seri along with all hi fellow warner brother cartoon star includ daffi duck porki pig see full summari bug bunni the famou oscarwin cartoon rabbit host hi first weekli televis seri along with all hi fellow warner brother cartoon star includ daffi duck porki pig elmer fudd yosemit sam the tasmanian devil tweeti bird sylvest cat the road runner wile e coyot pepe le pew foghorn leghorn and speedi gonzal each episod featur three theatric cartoon introduc by bug andor the other charact and often with a unifi idea or theme mani episod featur bug as a lectur on such subject as cat dog bird and human and offer classic warner brother cartoon footag to comic illustr hi point,"1960, 1975",8.6,,27606.0,30,"Mel Blanc, June Foray, Jim Backus, Bea Benaderet"
82,82,alfred hitchcock presents,crime drama mysteri,seri of unrel short stori cover element of crime horror drama and comedi about peopl of differ background commit murder suicid theft and other sort of crime caus by certain motiv perceiv or notseri of unrel short stori cover element of crime horror drama and comedi about peopl of differ background commit murder suicid theft and other sort of crime caus by certain motiv perceiv or not master of suspens sir alfr hitchcock present sever short stori the stori are invari surpris often contain element of horror comedi and mysteri sir alfr hitchcock the master of suspens host hi own televis show hitchcock introduc the show which wa then follow by a short half an hour episod which contain suspens horror and humor after the stori hitchcock would come back and end the show,"1955, 1962",8.6,,12867.0,25,"Alfred Hitchcock, Harry Tyler, John Williams, Patricia Hitchcock"
83,83,narcos: mexico,crime drama,the rise of the guadalajara cartel as an american dea agent learn the danger of target narco in mexicoth rise of the guadalajara cartel as an american dea agent learn the danger of target narco in mexico narco mexico explor the origin of the modern drug war by go back to it root begin at a time when the mexican traffick world wa a loos and disorgan confeder of independ grower and dealer wit the rise of the guadalajara cartel in the s as f lix gallardo take the helm unifi traffick in order to build an empir when dea agent kiki camarena move hi wife and young son from california to guadalajara to take on a new post he quickli learn that hi assign will be more challeng than he ever could have imagin as kiki garner intellig on f lix and becom more entangl in hi mission a tragic chain of event unfold affect the drug trade and the war against it for year to come,2018,8.5,,29870.0,50,"Diego Luna, Scoot McNairy, Michael Peña, Alyssa Diaz"
84,84,mindhunter,crime drama thriller,set in the late s two fbi agent are task with interview serial killer to solv open casesset in the late s two fbi agent are task with interview serial killer to solv open case two fbi agent fight the department stigma of backroom boy those who tri to complic the statu quo of simpl mean motiv opportun mmo of crimesolv with academ work to develop an innov investig field incorpor psycholog anthropolog and sociolog as a method to reveal the motiv they acknowledg classic crimesolv mmo as no longer suffici becaus crimin is becom more complic as motiv graduat from need and greed to inexplic and irrat reason they theoriz appli deeper psycholog evalu will posit new question simpli ask whi will lead to the who thi seri focus on the develop by two men two agent of a new crimin field and doe so through stori line of visit the sociopath mind mindhunt is base on the book mind hunter insid the fbi elit serial crime unit by former special agent john dougla and mark olshak for year dougla pursu some of the most notori serial killer and rapist develop profil techniqu to catch them the book goe behind the scene of some of hi highestprofil case includ the man who hunt prostitut in alaska the atlanta child murder and seattl green river killer to hone in hi profil method dougla interview and studi a skew of serial killer sever book and tv charact have been base in part on him includ jack crawford in thoma harri the silenc of the lamb will graham on hannib and jason gideon on crimin mind agent holden ford is attach to the fbi behaviour scienc unit head by veteran agent bill tench a new type of killer is emerg one that kill regularli and without appar motiv due to the lack of motiv it is difficult to profil and apprehend the perpetr in a murder investig in order to reduc thi knowledg deficit tench and ford set out to question incarcer sequenc killer and build up a databas of their background behaviour driver and motiv in order to make apprehend such crimin easier in futur,2017,8.5,,116264.0,60,"Jonathan Groff, Holt McCallany, Anna Torv, Hannah Gross"
85,85,bojack horseman,anim comedi drama,bojack horseman wa the star of the hit tv show horsin around in the s now he wash up live in hollywood complain about everyth and wear color sweatersbojack horseman wa the star of the hit tv show horsin around in the s now he wash up live in hollywood complain about everyth and wear color sweater,2014,8.5,,68149.0,25,"Will Arnett, Amy Sedaris, Alison Brie, Aaron Paul"
86,86,outlander,drama fantasi romanc,an english combat nurs from is mysteri swept back in time to an english combat nurs from is mysteri swept back in time to follow the stori of clair randal a marri combat nurs from who is mysteri swept back in time to where she is immedi thrown into an unknown world in which her life is threaten when she is forc to marri jami fraser a chivalr and romant young scottish warrior a passion relationship is ignit that tear clair heart between two vastli differ men in two irreconcil live,2014,8.5,,90768.0,64,"Caitriona Balfe, Sam Heughan, Duncan Lacroix, Tobias Menzies"
87,87,the knick,drama,a look at the profession and person live of the staff at new york knickerbock hospit dure the earli part of the twentieth centurya look at the profession and person live of the staff at new york knickerbock hospit dure the earli part of the twentieth centuri a look at the profession and person live of the staff at new york knickerbock hospit dure the earli part of the twentieth centuri everi day they must deal with lack of fund person conflict egot racial tension person vice drug addict affair close mind date nighmediev medic techniqu and them and their experiment new techniqu be misunderstood by most in order to keep the hospit go and give the ill the help they need the pressur is enorm and leav it mark on the soul of most of them,"2014, 2015",8.5,,38835.0,58,"Clive Owen, André Holland, Jeremy Bobb, Juliet Rylance"
88,88,american crime story,biographi crime drama,an antholog seri center around america most notori crime and criminalsan antholog seri center around america most notori crime and crimin the peopl v oj simpson american crime stori is a limit seri that take you insid the oj simpson trial with a rivet look at the legal team battl to convict or acquit the footbal legend of doubl homicid base on the book the run of hi life the peopl v oj simpson by jeffrey toobin it explor the chaotic behindthescen deal and maneuv on both side of the court and how a combin of prosecut overconfid defens shrewd and the lapd histori with the citi africanamerican commun gave a juri what it need reason doubt there are few truli unifi event in american life when someth happen that make the entir countri stop and take notic we rememb it forev everybodi rememb where they were when oj simpson ride in a white bronco led the polic on a lowspe chase all over lo angel thi mark the emerg of the hour news cycl and the birth of realiti televis told from the perspect of the lawyer it explor the chaotic deal behind close door and how prosecut overconfid defens shrewd and shock courtroom twist led to one of the most earthshatt verdict of all time,2016,8.5,,65917.0,42,"Sterling K. Brown, Kenneth Choi, Christian Clemenson, Cuba Gooding Jr."
89,89,silicon valley,comedi,follow the struggl of richard hendrick a silicon valley engin tri to build hi own compani call pie piperfollow the struggl of richard hendrick a silicon valley engin tri to build hi own compani call pie piper in the hightech gold rush of modern silicon valley the peopl most qualifi to succeed are the least capabl of handl success a comedi partial inspir by mike judg own experi as a silicon valley engin in the late s,2014,8.5,,101326.0,28,"Thomas Middleditch, T.J. Miller, Josh Brener, Martin Starr"
90,90,hannibal,crime drama horror,explor the earli relationship between the renown psychiatrist and hi patient a young fbi crimin profil who is haunt by hi abil to empath with serial killersexplor the earli relationship between the renown psychiatrist and hi patient a young fbi crimin profil who is haunt by hi abil to empath with serial killer will graham is a special consult with the fbi he ha a special gift wherebi he can empath with ani individu and put himself in their shoe thi mean he get to help solv viciou murder especi those involv serial killer as he can profil the murder their method motiv and person profil for a particular case the fbi also seek the help of dr hannib lecter a highlyrespect psychiatrist will and hannib hit it off and will becom a patient of hannib littl doe he know or suspect that hannib might be the most want serial killer in the us,"2013, 2015",8.5,,200381.0,44,"Hugh Dancy, Mads Mikkelsen, Caroline Dhavernas, Laurence Fishburne"
91,91,the legend of korra,anim action adventur,avatar korra fight to keep republ citi safe from the evil forc of both the physic and spiritu worldsavatar korra fight to keep republ citi safe from the evil forc of both the physic and spiritu world take place year after the event of avatar the last airbend thi stori follow the adventur of the avatar after aang a passion rebelli and fearless teenag girl from the southern water tribe name korra with three of the four element under her belt earth water and fire korra seek to master the final element air her quest lead her to the epicent of the modern avatar world republ citi a metropoli that is fuel by steampunk technolog it is a virtual melt pot where bender and nonbend from all nation live and thrive howev korra discov that republ citi is plagu by crime as well as a grow antibend revolut that threaten to rip it apart under the tutelag of aang son tenzin korra begin her airbend train while deal with the danger at larg set year after the event of airbend korra move to republ citi to master her final element air with the guidanc of the previou avatar aang son tenzin she ha to fight crime and face a grow antibend movement that threaten to rip the metropoli apart,"2012, 2014",8.5,,84566.0,23,"Janet Varney, P.J. Byrne, David Faustino, J.K. Simmons"
92,92,suits,comedi drama,on the run from a drug deal gone bad mike ross a brilliant colleg dropout find himself a job work with harvey specter one of new york citi best lawyerson the run from a drug deal gone bad mike ross a brilliant colleg dropout find himself a job work with harvey specter one of new york citi best lawyer while run from a drug deal gone bad mike ross a brilliant young colleg dropout slip into a job interview with one of new york citi best legal closer harvey specter tire of cookiecutt law school grad harvey take a gambl by hire mike on the spot after he recogn hi raw talent and photograph memori mike and harvey are a win team even though mike is a geniu he still ha a lot to learn about law and while harvey may seem like an emotionless coldblood shark mike sympathi and concern for their case and client will help remind harvey whi he went into law in the first place mike other alli in the offic includ the firm best paraleg rachel and harvey nononsens assist donna to help him serv justic prove to be an irrepress duo and invalu to the practic mike and harvey must keep their secret from everyon includ manag partner jessica and harvey arch nemesi loui who seem intent on make mike life as difficult as possibl,2011,8.5,,323195.0,44,"Gabriel Macht, Patrick J. Adams, Meghan Markle, Sarah Rafferty"
93,93,spartacus,action adventur biographi,the life of spartacu the gladiat who lead a rebellion against the roman from hi time as an alli of the roman to hi betray and becom a gladiat to the rebellion he lead and it ultim outcometh life of spartacu the gladiat who lead a rebellion against the roman from hi time as an alli of the roman to hi betray and becom a gladiat to the rebellion he lead and it ultim outcom the inspir behind thi seri is the thracian gladiat spartacu who led a slave upris against the roman republ the thracian had been persuad by claudiu glaber to serv as auxiliari in the roman legion in a campaign against the geta who had often plunder thracian land howev after glaber reneg on the deal and switch hi attent from the geta to attack mithrid in asia minor the thracian feel betray and mutini captur by glaber spartacu is condemn to death as a gladiat whilst hi wife sura is condemn to slaveri spartacu howev prove to be a formid gladiat and defeat the four gladiat task with execut him he becom a favorit of the crowd lead senat albiniu to commut hi death sentenc to a life of slaveri spartacu is purchas by batiatu for gladiat train who promis to help him find sura if he prove himself in train as the seri develop the stori follow the betray and machin of roman life and a tale of one man heroic quest for vengeanc,"2010, 2013",8.5,,203505.0,55,"Andy Whitfield, Lucy Lawless, Manu Bennett, Daniel Feuerriegel"
94,94,community,comedi,a suspend lawyer is forc to enrol in a commun colleg with an eclect staff and student bodya suspend lawyer is forc to enrol in a commun colleg with an eclect staff and student bodi a former lawyer attend a commun colleg when it is discov he fake hi bachelor degre in an attempt to get with a student in hi spanish class he form a spanish studi group to hi surpris more peopl attend the studi group and the group of misfit form an unlik commun a lawyer is scupper when it is discov that he ha fals claim to have a bachelor degre he is suspend and enrol himself into commun colleg he form a studi group so that he can get closer to an attract student the studi group includ a millionair a former drug addict a former quarterback a singl mother and a film student,"2009, 2015",8.5,,173171.0,22,"Joel McHale, Danny Pudi, Donald Glover, Chevy Chase"
95,95,supernatural,drama fantasi horror,two brother follow their father footstep as hunter fight evil supernatur be of mani kind includ monster demon and god that roam the earthtwo brother follow their father footstep as hunter fight evil supernatur be of mani kind includ monster demon and god that roam the earth thi televis drama is about the two winchest brother sam and dean who were rais by their father john to hunt and kill all thing that go bump in the night after hi wife mari wa murder by an evil supernatur be when the boy were young year later the brother set out on a journey fight evil along the way to find their recent miss father who when they final meet up with reveal he know what kill their mother a demon and ha found a way to track and kill it meanwhil sam start to develop frighten abil that includ death vision vision of peopl die befor it actual happen these vision are somehow connect to the demon who murder hi mother and it mysteri plan that seem to be all about sam when their father die strike a deal with the veri same devil that had kill hi wife the brother now alon and without their mentor are determin to finish the crusad their father start but disturb revel about sam part in the demon apocalypt plan are present when john die last word to dean are reveal the stori revolv around two brother sam and dean winchest as they follow their father footstep hunt down evil supernatur creatur such as monster demon and even fallen god while tri to save innoc peopl along the way continu the famili busi after their father death the brother soon discov that the hunt doesnt just involv slash and hack monster and demon but also deal with more power creatur such as angel reaper and even death the stori follow two brother sam and dean winchest who are out to kill everi evil thing in thi world when dean wa yr old and sam onli month old their mother mari wa kill their father john wa determin to find and kill the demon who kill hi wife rais the boy as hunter of all thing evil their motto save peopl hunt thing the famili busi after john death the boy continu the famili busi with the help of a few other hunter travel cross countri kill as mani monster as possibl and save as mani peopl as they can and at the same time they learn that famili dont end with blood they will do whatev it take to save each other and their famili go up against demon vampir werewolv shapshift demigod witch the four horsemen and even angel among other thing they lose famili and find new peopl they call famili they have gone to heaven and hell for each other and will do it all over again caus that what famili doe and famili dont end with blood supernatur follow brother sam and dean winchest as they cross the countri hunt supernatur be with the help of their angel friend castiel and the king of hell crowley along with some other hunter they meet along the way rais by their father to be hunter for all evil and supernatur the two winchest brother are now reunitedtheir mission is to hunt down demon and monster of all sortstwo brother soon becam a team best friend drive along across the usa the show follow brother sam and dean winchest who travel across america in a black chevi impala investig and combat paranorm event and other unexplain occurr mani of them base on american urban legend and folklor as well as classic supernatur creatur such as vampir werewolv and ghost,2005,8.5,,349312.0,44,"Jared Padalecki, Jensen Ackles, Jim Beaver, Misha Collins"
96,96,the colbert report,comedi news talkshow,satir newscast stephen colbert provid humor commentari on the big issu go on in the unit state and the rest of the world with hi largerthanlif ego and overlypatriot spirit along with him everi step of the waysatir newscast stephen colbert provid humor commentari on the big issu go on in the unit state and the rest of the world with hi largerthanlif ego and overlypatriot spirit along with him everi step of the way an offshoot of the daili show the colbert report the ts in colbert and in report are silent is a parodi of show like the oreilli factor colbert begin the show with teaser about the show content and then the credit go by with a giant eagl and the star and stripe featur predominantli colbert will pepper commentari with phrase like look i dont have time to read book or presid bush isnt a head thinker he a gut thinker aspect of talk head program are exagger and colbert present a host overwhelm by hi own import guest do not walk onstag but are seat at a small tabl to the side colbert run over to them encourag the audienc to applaud and high five him as he pass he is then like to begin an interview by ask a guest someth like explain evolut in twenti second or isnt everyon who disagre with the presid guilti of treason colbert is also veri clear about our number one threat bear hi distrust of bear wa a continu theme,"2005, 2015",8.5,,36524.0,30,"Stephen Colbert, Jay Katsir, Jon Stewart, Paul Dinello"
97,97,the venture bros.,anim comedi scifi,the bizarr anim escapad of pseudohero scientist dr rusti ventur hi compet high strung bodyguard and hi two overenthusiast sonsth bizarr anim escapad of pseudohero scientist dr rusti ventur hi compet high strung bodyguard and hi two overenthusiast son the warp misadventur of a former boy geniu turn washedup middleag mad scientist dr rusti ventur hi moron teenag son their maniac bodyguard and the doctor archnemes incompet super villain the monarch and hi masculin paramour dr girlfriend,2003,8.5,,21743.0,22,"Christopher McCulloch, James Urbaniak, Doc Hammer, Michael Sinterniklaas"
