,0
Lee In Hye,"['I’m a Mother too', 'Oh My Geum Bi', 'Into the Flames', 'Mother’s Island', 'Short Family', 'The Disappearance of the Member of Parliament', 'King Gwanggaeto the Great', 'Comrades', 'Empress Chun Chu', 'Unstoppable Marriage', 'In-soon is Pretty', 'Hwang Jin Yi', 'Delightful Girl Choon Hyang', 'Golden Apple']"
Lee Ja In,"['She Was Pretty', 'My Love Eun Dong']"
Lee Ja Min,"['Jang Ok Jung', 'Oh! My Lady', 'Hateful But Once Again']"
Lee Ja Young ,"['Lovers in Bloom', 'Enchanting Neighbor', 'A Thousand Kisses', 'I Hate You, But It’s Fine', 'Love and Hate', 'Jang Gil San']"
Lee Jae Eun,"['You Are Too Much', 'Age of Youth', 'My Son-In-Law’s Woman', 'Byul Soon Geom 3', 'Enjoy Life', 'Mun Hee', 'Yeon Gae Somun', 'Land']"
Lee Jang Kyung,['Good Doctor']
Lee Ji Ah,"['The Ghost Detective', 'My Mister', 'Dramaworld', 'Snow Lotus', 'The Woman Who Married Three Times', 'Me Too, Flower!', 'Athena: Goddess of War', 'Style', 'Beethoven Virus', 'The Legend', 'Sourc']"
Lee Ji Eun @ IU,"['My Mister', 'Moon Lovers – Scarlet Heart: Ryeo', 'Producer', 'Pretty Man', 'Lee Soon Shin is the Best', 'Salamander Guru and the Gang', 'Dream High Season 2', 'Welcome to the Show', 'Dream High Season 1', '6th APAN Star Award', '2016 SBS Drama Award', '2016 SBS Drama Award', '2013 KBS Drama Award', '2013 KBS Drama Award']"
Lee Ji Eun (1999),"['Witch’s Court', 'It Was Love', 'God’s Quiz', 'Gloria', 'Bad Guy', 'Glory of Youth', 'Chosun Police 2', 'White Tower']"
Lee Ji Ha,"['Eulachacha Waikiki', 'Jugglers', 'Five Children']"
Lee Ji Hyun (1984),"['Lee Duk Hw', 'The Merchant: Gaekju 2015', 'Fitting', 'Empress Ki', 'Incarnation of Money', 'Athena: Goddess of War', 'Aeja’s Older Sister, Minja']"
Lee Ji Hyun (1983),['Tomorrow Victory']
Lee Ji Hyun (1972),"['Beautiful World', 'Let’s Eat 3', 'Mystery Queen 2', 'The Package']"
Lee Ji Min,['The Smile Has Left Your Eyes']
Lee Ji Soo,"['Kim Ga Yu', 'The Duo', 'Legend of Hyang Dan']"
Lee Ji Won,"['Romance Is a Bonus Book', 'Sky Castle', 'Perfect Wife', 'Lookout', 'Producer']"
Lee Ji Woo (2002),"['Surplus Princess', 'Inspiring Generation', 'Aeja’s Older Sister, Minja']"
Lee Ji Woo (2006),['Weightlifting Fairy Kim Bok Joo']
Lee Jin,"['FinK', 'Shining Romance', 'Birth Secret', 'The Great Seer', 'Glory Jane @ Man of Honor', 'Jejoongwon', 'Soul', 'Hometown Legends', 'The King and I', 'New Wise Mother, Good Wife', '2012 SBS Drama Award']"
Lee Jin Ah,"['Sweet Enemy', 'My Mother is a Daughter-In-Law', 'Your Woman', 'Warrior Baek Dong Soo', 'It’s Okay, Daddy’s Girl', 'Lobbyist', 'That Woman is Scary', 'Love and Hate']"
Lee Jin Hee,['Two Cops']
Lee Jin Yi,"['Hwang Shin Hy', 'Mystery Freshman']"
Lee Jong Nam,"['Doctor Prisoner', 'It’s My Life', 'My Golden Life', 'The Shining Eun Soo', 'Mask', 'The Family Is Coming', 'Birth of a Beauty', 'Cheongdamdong Alice', 'I Love You', 'My Daughter The Flower', 'The Great Gift', 'New Tales of Gisaeng', 'Your Heaven', 'Daring Women', 'Returned Earthen Bowl', 'Star’s Lover', 'Golden Apple']"
Lee Joo Bin,"['Trap', 'Mr. Sunshine', 'Whisper']"
Lee Joo Hwa,"['Women’s Secret', 'Syndrome']"
Lee Joo Shil,"['Save Me 2', 'The Guest', 'Bad Thief, Good Thief', 'Voice', 'I’m Sorry Kang Nam Goo', 'TV Novel – My Mind’s Flower Rain', 'Tomorrow Victory', 'Mrs. Cop', 'Oh My Ghost', 'Stormy Woman', 'My Secret Hotel', 'High School – Love On', 'Like A Miracle', 'Dummy Mommy', 'Ordinary Love', 'Salaryman Chohanji', 'Heaven’s Garden', 'Poseidon', 'Dae Mul', 'My Sister’s March', 'Harvest Villa', 'Loving You a Thousand Times', 'Wife and Woman', 'Someday', 'Golden Apple']"
Lee Joo Won,['TV Novel – Dal Soon’s Spring']
Lee Joo Woo,"['Let’s Eat 3', 'Eulachacha Waikiki', 'Return of Lucky Pot', 'Everything Will Be OK', 'Snowy Road', 'Blue Bird’s House', 'Ho Goo’s Love', 'Seonam Girls High School Investigators']"
Lee Joo Yeon (1987),"['After Schoo', 'Devilish Joy', 'Handsome Guy and Jung Eum', 'Switch: Change the World', 'Unique Daughters-in-Law', 'Saimdang, Light’s Diary', 'Hotel King', 'A New Leaf', 'Answer Me 1994', 'Monstar', 'Salamander Guru and the Gang', 'Jeon Woo Chi', 'Reply 1997', 'Salamander Guru and the Gang', 'Smile, Dong Hae', 'You’re Beautiful']"
Lee Joo Yeon (2002),"['Merchant Kim Man Deok', 'Will it Snow at Christmas?', 'City of Glass']"
Lee Joo Young (1973),['Hateful But Once Again']
Lee Joo Young (1987),"['Dance Sports Girls', 'Live']"
Lee Joo Young (1992),"['The Ghost Detective', 'Something in the Rain', 'Hip Hop Teacher', 'Someone Noticeable', 'Weightlifting Fairy Kim Bok Joo']"
Lee Jung Eun (1970),"['Dazzling', 'Familiar Wife', 'Mr. Sunshine', 'Miss Hammurabi', 'Assistant Manager Park’s Private Life', 'While You Were Sleeping', 'Buzzcut Love', 'Third-Rate My Way', 'Bad Thief, Good Thief', 'Ice Binggoo', 'Tomorrow With You', 'Weightlifting Fairy Kim Bok Joo', 'Noodle Shop Woman', 'Laurel Tree Tailors', 'Jealousy Incarnate', 'Let’s Fight Ghost', 'Pied Piper', 'The Cravings 2', 'Remember – War of the Son', 'Awl', 'Oh My Ghost', 'Cunning Single Lady', 'Only Love', 'The Queen’s Classroom']"
Lee Jung Eun (1973),"['Go Chang Su', 'Who Are You: School 2015', 'Reply 1994']"
Lee Jung Hyun,"['Item', 'Mr. Sunshine']"
Lee Jung Min,"['What’s Wrong With Secretary Kim', 'Assistant Manager Park’s Private Life', 'The Best Hit', 'Glamorous Temptation']"
Lee Kan Hee,"['Witch’s Love', 'A Poem a Day', 'Miss Hammurabi', 'Shall We Live Together', 'Strongest Deliveryman', 'My Secret Romance', 'TV Novel – Sea of the Woman', 'Something About 1%', 'Sweet Home, Sweet Honey', 'SOS Save Me', 'She’s So Lovable', 'Secret Love Affair', 'The True Colors', 'Syndrome', 'Fermentation Family', 'Glory of Youth']"
Lee Kyu Jung,['Happy Home']
Lee Kyung Jin,"['TV Novel – Waves, Waves', 'Saimdang, Light’s Diary', 'Working Mom Parenting Daddy', 'D-Day', 'Everything Will Be OK', 'A Cat! Meow', 'Gold, Appear!', 'Stroke of Luck', 'If Tomorrow Comes', 'Lie to Me', 'Special Crime Squad MSS', 'You Don’t Know Women', 'Cinderella Man', 'Returned Earthen Bowl', 'Powerful Opponents', 'On Air', 'Capital Scandal', 'Crazy For You', 'Dal Ja’s Spring', 'The Bizarre Bunch', 'Our Attitude to Prepare Parting', 'Spring Day', 'Phoenix']"
Lee Kyung Shil,"['TV Novel – Waves, Waves', 'Flower of the Queen', 'Eve’s Love', 'Answer Me 1994', 'Wonderful Mama', 'Bridal Mask', 'Romance Town', 'The Greatest Love', 'More Charming by the Day', 'Aeja’s Older Sister, Minja', 'Love and Ambition', 'Bad Housewife']"
Lee Kyung Shim,"['My Only One', 'Solomon’s Perjury', 'Sweet Stranger and Me', 'Age of Youth', 'Bird That Doesn’t Cry', 'Healer']"
Lee Mae Ri,"['New Tales of Gisaeng', 'Queen of Housewives', 'Big Sister', 'Woman of Matchless Beauty, Park Jung Kum', 'In-Soon is Pretty', 'Looking For Dorothy', 'Three Wives', 'Say You Love Me', 'Jang Gil San']"
Lee Mi Do,"['Neighborhood Lawyer Jo Deul Ho 2: Crime and Punishment', 'Let’s Hold Hands Tightly and Watch The Sunset', 'Father is Strange', 'Sweet Stranger and Me', 'Mrs. Cop 2', 'Sassy Go Go', 'Unkind Women', 'Mr. Back', 'Fated to Love You', 'King’s Daughter, Soo Baek Hyang', 'Marry Him If You Dare', 'The Queen of Office', '21st Century Family', 'Mellow In May']"
Lee Mi Eun,"['The Crowned Clown', 'Iron Daughters-in-Law', 'The Thorn Birds', 'The Duo', 'Smile Mom']"
Lee Mi Mi,[]
Lee Mi So,"['Kim Boo Su', 'The Superman Age', 'Answer Me 1994', 'Rememory', 'Chosun Police 2', 'Dal Ja’s Spring']"
Lee Mi Sook,"['Let Me Introduce Her', 'Wok of Love', 'Money Flower', 'Temperature of Love', 'Jealousy Incarnate', 'Rosy Lovers', 'Iron Man', 'Shining Romance', 'Miss Korea', 'Lee Soon Shin is the Best', 'Can We Get Married ?', 'Love Rain', 'A Thousand Days’ Promise', 'Smile, Mom', 'Cinderella’s Sister', 'Ja Myung Go', 'East of Eden', 'Great Inheritance', '2017 MBC Drama Award', '2014 MBC Drama Award', '2013 KBS Drama Award', '2011 SBS Drama Award']"
Lee Mi Yeon,"['Reply 1988', 'Merchant Kim Man Deok', 'Crazy For You']"
Lee Mi Young (1961),"['The Birth of a Married Woman', 'Our Gap Soon', 'Enchanting Neighbor', 'Mr. Back', 'Mother’s Garden', 'Glorious Day', 'Emergency Man and Woman', 'Pretty Man', 'Your Woman', 'Suspicious Family', 'A Thousand Kisses', 'Thorn Birds', 'Last Flashman', 'Dandelion Family', 'Temptation of an Angel', 'Loving You a Thousand Times', 'Hateful But Once Again', 'Glory of Youth', 'I Love You, Don’t Cry', 'The Painter of the Wind', 'Lobbyist', 'First Wives Club', 'Time Between Dog and Wolf', 'Blissful Woman', 'Couple of Fantasy', 'Cloud Stairs', 'The Vineyard Man', 'Famous Princesses', 'Seoul 1945', 'Wolf', 'Marrying a Millionaire', 'Fashion 70’s', 'Sad Love Song', 'The Woman Who Wants to Marry', 'People of the Water Flower Village', 'What Happened in Bali', 'Thousand Years of Love', 'Yellow Handkerchief']"
Lee Mi Young (1964),"['Secret Door', 'Jang Ok Jung', 'Looking Forward to Romance']"
Lee Min Ji (1991),"['Love to the End', 'TV Novel – Dal Soon’s Spring']"
Lee Min Ji (1988),"['Neighborhood Lawyer Jo Deul Ho 2: Crime and Punishment', '100 Days My Prince', 'I’m Not a Robot', 'Reply 1988', 'Seonam Girls High School Investigators']"
Lee Min Jung,"['Lee Byung Hu', 'Fates and Furies', 'Please Come Back, Mister', 'Cunning Single Lady', 'All About My Romance', 'Big', 'Midas', 'Smile, You', 'Boys Before Flowers', 'Who Are You?', 'Kimcheed Radish Cubes']"
Lee Min Young,"['Doctor Prisoner', 'Your House Helper', 'Strongest Deliveryman', 'Here Comes Love', 'You Will Love Me', 'You’re Only Mine', 'Fermentation Family', 'Love and Ambition', 'Land', 'Precious Family', 'Lee Min Youn', 'Lee Cha']"
Lee Moon Hee,"['Kim Young Chu', 'The Eccentric Daughter-in-Law', 'Panda and Hedgehog']"
Lee Moon Jung,"['Reply 1988', 'Mrs. Cop', 'High Society', 'Heart to Heart', 'A New Leaf', 'Cruel Palace – War of Flowers', 'Here Comes Mr. Oh']"
Lee Na Eun,"['Mother’s Choice', 'Dangerous Woman', 'Green Coach', 'Love Marriage', 'The Invisible Man', 'My Rosy Life']"
Lee Na Yoon,"['Special Labor Inspector Jo', 'Let’s Hold Hands Tightly and Watch The Sunset', 'Duel', 'Voice', 'Cinderella and Four Knights', 'Age of Youth', 'Happy Home', 'Cheese in the Trap', 'My Daughter, Geum Sa-Wol', '2018 MBC Drama Award']"
Lee Na Young,"['Won Bi', 'Romance Is a Bonus Book', 'The Fugitive : Plan B', 'High Kick Through The Roof', 'Ireland', 'Ruler of Your Own World']"
Lee Noh Ah,['Your House Helper']
Lee Re,"['Memories of the Alhambra', 'Radio Romance', 'Witch’s Court', 'Please Come Back, Mister', 'Six Flying Dragons', 'Super Daddy Yeol', 'Here Comes Mr. Oh', 'The Chaser', '2017 KBS Drama Award']"
Lee Sang Ah,"['Enemies From the Past', 'Always Spring', 'Investigator Alice 2', 'My Son-In-Law’s Woman', 'Super Daddy Yul', 'Mom’s Island', 'Innocent You']"
Lee Sang Hee,"['Life', 'Mistress', '20th Century Boy and Girl', 'Dance from Afar']"
Lee Sang Mi,"['Happy Sisters', 'Hotel King', 'New Tales of Gisaeng']"
Lee Sang Sook,"['What’s Wrong, Poong Sang', 'Shall We Live Together', 'Enemies from the Past', 'My Man’s Secret', 'Radiant Office', 'Our Gap Soon', 'Tomorrow Victory', 'Save the Family', 'Cheongdamdong Scandal', 'King’s Family', 'Princess Aurora', 'Live in Style', 'Three Brothers']"
Lee Sang Yi,"['Manhole: Feel So Good', 'Good Person', 'Save the Family', 'By My Side', 'Couple or Trouble', 'Jumong']"
Lee Se Eun,"['Angel’s Revenge', 'Stroke of Luck', 'Salamander Guru and the Gang', 'King Geunchogo', 'Fly High', 'Love Needs a Miracle', 'Be Strong, Geum-soon', 'Dae Jang Geum', 'Bodyguard', 'Love Rollercoaster']"
Lee Se Na,"['Hyde, Jekyll and I', 'Still You', 'Dummy Mommy', 'Tree With Deep Roots', 'The Scarlet Letter', 'Comrades', 'Hometown Legends', 'City of Glass', 'The Lawyers of The Great Republic Korea', 'Life Special Investigation Team', 'Kokkiri']"
Lee Se Rang,['W']
Lee Se Young (1992),"['The Crowned Clown', 'A Korean Odyssey', 'The Best Hit', 'Laurel Tree Tailors', 'Vampire Detective', 'Plus Nine Boys', 'Trot Lovers', 'Haneuljae’s Murder', 'Adolescence Medley', 'Goddess of Marriage', 'Missing You @ I Miss You', 'King’s Dream', 'Bachelor’s Vegetable Store', 'Yeongdeok Women’s Wrestling Team', 'Kokkiri', 'Unstoppable High Kick', 'Dae Jang Geum', 'Country Princess', 'My Love Patzzi', '2016 KBS Drama Award', '2016 KBS Drama Award']"
Lee Se Young (1989),"['Man Who Sets the Table', 'The Sound of Your Heart', 'The Birth of a Married Woman', 'Drinking Solo', 'Let’s Fight Ghost', '38 Task Force', 'My Son-In-Law’s Woman', 'Reply 1988', 'We Broke Up', 'Love Frequency 37.2', 'Plus Nine Boy', '2016 tvN10 Award']"
Lee Seo Yeon,"['The King Loves', 'Women’s Secret', 'Cheers to M', 'Pride and Prejudice', 'Wild Romance']"
Lee Seo Yoon,"['Iron Lady Cha', 'The Snow Queen']"
Lee Seo Yun,"['Spring Turns to Spring', 'Thirty But Seventeen', 'Wild Chives and Soy Bean Soup: 12 Years Reunion', 'Cannot Hate You', 'Here Comes Ajumma']"
Lee Seol,"['Bad Detective', 'After the Rain', '2018 MBC Drama Award', '2018 KBS Drama Award']"
Lee Seol Ah,"['The Duo', 'Home Sweet Home', 'Hot Blood', 'Little Mom Scandal', 'You Are My Destiny', 'By My Side', 'Pure 19', 'Love Letter']"
Lee Seol Hee,"['Goddess of Marriage', 'Cruel Palace – War of Flowers', 'God’s Quiz Season 2', 'The Jewel Family', 'You Are My Destiny', 'New Heart', 'By My Side']"
Lee Seon Jin,"['Different Dreams', 'Hotel King', 'Blue Bird', 'Childless Comfort', 'Bad Couple', 'Come Back Soon-ae!']"
Lee Seul Ah,"['Blessing of the Sea', 'Fluttering Warning', 'Where Stars Land', 'Good Person', 'Beautiful You', 'You Are The Only One']"
Lee Seung Ah,"['The Flower in Prison', 'Hwajung', 'Gu Am Heo Joon', 'Queen of Housewives', 'Yi San', 'Jumong', 'Ballad of Suh Dong', 'Dae Jang Geum']"
Lee Seung Min,"['Jung Do Jun', 'Pretty Man', 'Night Watch', 'Saving Madame Go Bong Shil', 'Chuno', 'Father’s Place', 'Tempted Again', 'Hometown over the Hill', 'Catch a Kang Nam Mother', 'White Tower', 'Look Back With a Smile', 'Love Hymn', 'Save the Last Dance for Me', 'April Kiss']"
Lee Seung Yeon (1991),"['Noble, My Love']"
Lee Seung Yeon (1977),['Snowy Road']
Lee Seung Yeon (1968),"['Left-Handed Wife', 'Rich Family’s Son', 'Because It’s the First Time', 'My Beautiful Bride', 'Seonam Girls High School Investigators', 'The Great Seer', 'Happy Ending', 'Scarlet Letter', 'Mun Hee', 'Love and Ambition', 'Perfect Love']"
Lee Shi Ah,"['It’s My Life', 'Let Me Introduce Her', 'Mr. Sunshine', 'Suspicious Partner', 'Tunnel', 'Strange Family', 'Signal', 'Remember – War of the Son', 'House Maids', 'She’s So Lovable']"
Lee Shi Eun,"['High-End Crush', 'Mother’s Choice', 'You Are Very Good']"
Lee Shi Won,"['Memories of the Alhambra', 'Suits', 'Mystery Queen', 'Black', 'Beautiful Mind', 'Puck!', 'My Son-In-Law’s Woman', 'Beautiful You', 'I Have a Lover', 'All About My Mom', 'Mrs. Cop', 'School 2015: Who Are You?', 'Run, Jang Mi', 'Dr. Frost', 'Misaeng', 'God’s Gift – 14 Days', 'King’s Dream']"
Lee Si Young,"['What’s Wrong, Poong Sang', 'Risky Romance', 'Lookout', 'My Beautiful Bride', 'Valid Love', 'Golden Cross', 'Wild Romance', 'Poseidon', 'Mischievous Kiss', 'The Birth of the Rich', 'Loving You a Thousand Times', 'Hateful But Once Again', 'Boys Before Flowers', 'The Kingdom of The Winds']"
Lee So Jung,"['Happy Home', 'Swedish Laundry', 'Golden Tower', 'The Virus', 'The Sons', 'High Kick Through the Roof', 'Dream', 'Tazza']"
Lee So Yeon,"['Blessing of the Sea', 'A Korean Odyssey', 'Man Who Dies to Live', 'Beautiful You', 'To Be Continued', 'Wild Chives and Soy Bean Soup: 12 Years Reunion', 'Ruby’s Ring', 'The Birth of a Family', 'Time Slip Dr. Jin', 'My Love By My Side', 'Dong Yi', 'Temptation of an Angel', 'My Life’s Golden Age', 'Why Did You Come to My House', 'Spring Waltz', 'Super Rookie', 'Spring Day', 'Let’s Marry', '2013 KBS Drama Award', '2011 SBS Drama Award']"
Lee So Yun,"['What’s With This Family?', 'Jun Do Jun', 'The Queen of Office', 'Sweet Palpitations']"
Lee Soo Hyun,['Temporary Idols']
Lee Soo Ji,"['Devilish Joy', 'The Best Hit', 'Strong Woman Do Bong Soon', 'The Sound of Your Heart', 'Weightlifting Fairy Kim Bok Joo', 'Falling for Innocence', 'She’s So Lovable']"
Lee Soo Jin,"['New Tales of Gisaeng', 'Giant', 'Prosecutor Princess']"
Lee Soo Kyung (1982),"['Left-Handed Wife', 'What’s Wrong With Secretary Kim', 'Father, I’ll Take Care of You', 'Let’s Fight Ghost', 'My Little Baby', 'A Daughter Just Like You', 'Let’s Eat', 'I Summon You, Gold!', 'Come, Come, Absolutely Come', 'Color of Women', 'Can’t Lose', 'Dae Mul', 'Call of the Country', 'Loving You a Thousand Times', 'The Lawyers of The Great Republic Korea', 'Golden Era of Daughter in Law', 'Soulmate', 'Dear Heaven']"
Lee Soo Kyung (1996),"['Where Stars Land', 'Reply 1988', 'Finding Argenta', 'Ho Goo’s Love']"
Lee Soo Min (1984),"['Rude Miss Young Ae 16', 'Rude Miss Young Ae 15']"
Lee Soo Min (2001),"['Devil Inspector', 'Rebel: Thief Who Stole the People', 'Second To Last Love']"
Lee Soo Young,"['That Fool', 'That Person Is Coming', 'Don’t Ask Me About the Past']"
Lee Sook,"['The Flower in Prison', 'The Great Wives', 'The Legend of the Witch', 'Cuckoo Nest', 'Hundred Year Inheritance', 'Horse Doctor', 'Oohlala Spouses', 'Faith @ The Great Doctor', 'New Tales of Gisaeng', 'Dong Yi', 'Yi San', 'The Vineyard Man', 'Dear Heaven', 'Ballad of Suh Dong']"
Lee Soon Kyu,"['SNS', 'Tae Hee, Hye Kyo, Ji Hyun', 'Unstoppable Marriage']"
Lee Sun Ah,"['Flower of the Queen', 'My Beautiful Bride', 'Emergency Man and Woman', 'New Tales of Gisaeng', 'It’s Okay, Daddy’s Girl', 'The Miracle of Love', 'Wife Returns', 'Style']"
Lee Sun Bin,"['Sketch', 'Criminal Minds', 'Missing Nine', 'Entourage', '38 Task Force', 'Another Miss Oh', 'Madame Antoine', '2017 MBC Drama Award']"
Lee Sung Kyung,"['About Time', 'While You Were Sleeping', 'Weightlifting Fairy Kim Bok Joo', 'Doctors', 'Cheese in the Trap', 'Flower of the Queen', 'It’s Okay, That’s Love', '2016 MBC Drama Award', '2015 MBC Drama Award']"
Lee Sung Min (Clara),"['Strong Woman Do Bong Soon', 'Entourage', 'Fated to Love You', 'Emergency Man and Woman', 'Goddess of Marriage', 'Tasty Life', 'Take Care Of Us, Captain', 'Baby-faced Beauty', 'A Good Day For The Wind To Blow', 'Creating Destiny', 'Tae Hee, Hye Kyo, Ji Hyun', 'Unstoppable High Kick', 'The Invisible Man', '2013 Korea Drama Festival Award 201']"
Lee Tae Im,"['Woman of Dignity', 'Entourage', 'You Will Love Me', 'My Heart Twinkle Twinkle', 'Wild Chives and Soy Bean Soup: 12 Years Reunion', 'Please Marry Me', 'Don’t Hesitate', 'Empress Chun Chu', 'A Man’s Story', 'My Life’s Golden Age']"
Lee Tae Kyung,"['Love is Drop by Drop', 'Hidden Identity', 'The King’s Face', 'Cheo Yong', 'The Virus', 'Gye Baek', 'Crime Squad', 'Mr Goodbye', 'Love and Ambition']"
Lee Tae Ran,"['Sky Castle', 'Love to the End', 'Make a Woman Cry', 'Kings Family', 'Goddess of Marriage', 'A Wife’s Credentials', 'Comrade', 'My Precious Child', 'Famous Princesses', 'My Rosy Life', 'The Woman Who Wants to Marry', 'Yellow Handkerchief', '2013 KBS Drama Award']"
Lee Tae Yeon,['Man Who Dies to Live']
Lee Ye Bin,['Happy Sisters']
Lee Ye Eun (2007),"['Mom', 'Missing Noir M']"
Lee Ye Eun (2001),"['School 2015: Who Are You?', 'Shining Inheritance']"
Lee Ye Eun (1989),"['Twelve Nights', 'Miss Hammurabi', 'Duel', 'The K2']"
Lee Ye Hyun,['Andantae']
Lee Ye Sun,"['Witch’s Court', 'King’s Family', 'Scandal: A Shocking and Wrongful Incident', 'That Winter, the Wind Blows', 'What is Mom', 'Feast of the Gods', 'The Princess’ Man', 'Athena: Goddess of War', 'Smile, You', 'One Mom and Three Dads']"
Lee Ye Won,"['Miss Ma, Nemesis', 'Come and Hug Me', 'Father, I’ll Take Care of You']"
Lee Yeon Doo,"['My Daughter, Geum Sa Wol', 'Missing Noir M', 'Cinderella Man', 'My Life’s Golden Age', 'Hometown Legends', 'Powerful Opponents', 'Oh Lovers', 'Goong']"
Lee Yeon Hee,"['The Package', 'Reunited Worlds', 'Hwajung', 'Miss Korea', 'KangChi, The Beginning', 'Ghost', 'Paradise Ranch', 'East of Eden', 'One Fine Day', 'Resurrection', 'My Lovely Family', 'Sea God']"
Lee Yeon Joo,"['I’m Alive', 'Crime Squad', 'Snow in August']"
Lee Yeon Soo,"['Heaven’s Promise', 'Late Night Restaurant', 'You’re Only Mine', 'Sam Saeng', 'Sad Love Song']"
Lee Yo Won,"['Different Dreams', 'Avengers Social Club', 'Night Light', 'Ms. Temper & Nam Jung Gi', 'Empire of Gold', 'Horse Doctor', '49 Days', 'Queen Seon Duk', 'Bad Love', 'Surgeon Bong Dal Hee', 'Fashion 70’s', 'Daemang', '2013 SBS Drama Award', '2013 SBS Drama Award', '2011 SBS Drama Award', '2011 SBS Drama Award']"
Lee Yong Lee,"['Bubblegum', 'Warm and Cozy', 'Sweden Laundry', 'Endless Love', 'The Prime Minister and I']"
Lee Yong Nyeo,"['The Beauty Inside', 'The Guest', 'Hide and Seek', 'Mystery Queen 2', 'Black', 'Criminal Minds', 'Tunnel', 'Voice', 'The Miracle', 'Baek Hee Has Returned', 'What is the Ghost Doing?', 'The Mother and Daughter-in-Law', 'In Still Green Days', 'The Superman Age', 'The Legendary Witch', 'Bad Guys', 'Grandpas Over Flowers Investigation Team', 'What Kind of Goodbye', 'Let’s Eat', 'Master’s Sun', 'Arang and the Magistrate', 'Vampire Prosecutor 2', 'It’s Okay, Daddy’s Girl', 'Hometown Legends 2009']"
Lee Yong Yi,"['My Only One', 'The Ghost Detective', 'A Korean Odyssey', 'Perfect Wife', 'Neighborhood Lawyer Jo Deul Ho', 'Sweet, Savage Family', 'Bubblegum', 'My Fantastic Funeral', 'Warm and Cozy', 'Swedish Laundry', 'Tears of Heaven', 'Endless Love', 'The Prime Minister and I', 'The Firstborn', 'Arang and the Magistrate', 'A Gentleman’s Dignity', 'Say You Love Me']"
Lee Yoo Bi,"['Kyun Mi R', 'Lee Da I', 'A Poem a Day', 'Somehow 18', 'Uncontrollably Fond', 'Scholar Who Walks the Night', 'Pinocchio', 'KangChi, The Beginning', 'Innocent Man', 'Vampire Idol', '2015 MBC Drama Award', '2014 SBS Drama Award', '2013 Apan Star Award']"
Lee Yoo Jin (1977),"['Gangnam Scandal', 'Two Wives SBS, 2009', 'Phoenix', 'Into the Sun']"
Lee Yoo Jung,"['The Best Hit', 'High School – Love On', 'Women of the Sun', 'Don’t Be Swayed', 'Winter Bird', 'Auction House', 'Love Story in Harvard']"
Lee Yoo Mi,"['Dance Sports Girls', 'Voice Season 2', 'Welcome to Waikiki', '20th Century Boy and Girl']"
Lee Yoo Ri,"['Spring Turns to Spring', 'Hide and Seek', 'Strongest Deliveryman', 'Perfect Wife', 'Father is Strange', 'Pinocchio’s Nose', 'Another Miss Oh', 'Heaven’s Promise', 'Super Daddy Yeol', 'Come! Jang Bo Ri', 'Your Woman', 'Blue Tower', 'Yellow Boots', 'My Daughter The Flower', 'Sparkling', 'Daring Women', 'I Love You, Don’t Cry', 'Mom Has Grown Horns', 'Love and Ambition', 'Precious Family', 'Yellow Handkerchief', 'Loving You', '2018 MBC Drama Award', '2017 KBS Drama Award', '2017 KBS Drama Award', '2016 KBS Drama Award', '2014 MBC Drama Award', '2014 MBC Drama Award', '2011 MBC Drama Award']"
Lee Yoo Young,"['My Fellow Citizens', 'Your Honor', 'You Drive Me Crazy!', 'Tunnel', 'Clocking Out', '2018 SBS Drama Award']"
Lee Yoon Ji,"['The Third Charm', 'Revolutionary Love', 'Person Who Gives Happiness', 'Ex-Girlfriend Club', 'Dr. Frost', 'Love Like That', 'Kings Family', 'Dating Agency: Cyrano', 'The Great Seer', 'The King 2hearts', 'Terminal', 'Dream High Season 1', 'Dandelion Family', 'Heading to the Ground', 'Dae Wang Sejong', 'By My Side', 'Pure 19', 'Goong', 'Hello My Teacher', 'Han River Ballad', '2012 MBC Drama Award', '2011 KBS Drama Award']"
Lee Yoon Mi,"['Criminal Minds', 'Iron Lady Cha', 'Triangle', 'Let’s Eat', 'Dream High Season 1', 'Fly High', 'Bad Woman, Good Woman', 'My Love', 'My Name is Kim Sam-Soon']"
Lee Yoon Sung,"['Hair Show', 'April Kiss', 'My Fair Lady']"
Lee Young Ae,"['My ID Is Gangnam Beauty', 'Saimdang, Light’s Diary', 'Dae Jang Geum']"
Lee Young Ah,"['Love to the End', 'Cheo Yong 2', 'Bo Mi’s Room', 'Run, Jang Mi', 'Unemployed Romance', 'King’s Dream', 'Vampire Prosecutor 2', 'Natural Burials', 'Vampire Prosecutor', 'King of Baking, Kim Tak Goo', 'Empress Chun Chu', 'Iljimae', 'Golden Bride', 'Love Can’t Wait', 'Golden Apple', 'Wedding', 'The Youth in Bare Foot']"
Lee Young Eun (1982),"['Home for Summer', 'Thirty But Seventeen', 'Should We Kiss First', 'The Shining Eun Soo', 'Punch', 'My Secret Hotel', 'Gap Dong', 'Can’t Take it Anymore', 'To the Beautiful You', 'The Wedding Scheme', 'Dad Says I am Sorry', 'I Remember You', 'While You Were Sleeping', 'Once Upon a Time in Saengchori', 'Obstetrics and Gynecology Doctors', 'Jung Yak Yong', 'Hometown Legends', 'Hometown Legends', 'I Hate You, But It’s Fine', 'The King and I', 'Money’s Warfare', 'Hong Kong Express', 'Full House', 'My Fair Lady']"
