,Unnamed: 0.1,Title,Genre,Network,Summary,Year,Rating,Metascore,Votes,Runtime,Actors
387,387,my little baby,famili comedi romant,MBC &amp; MBC every1,cha jung han oh ji ho is a detect for a special investig team he is busi with investig violent case includ drug and gang but one day he take in hi niec eun ae and struggl to rais hermeanwhil han ye seul lee soo kyung is a singl mother who rais her yearsold son alon she is cha junghan s first lovewonsool kim jungkyoon is an adult man with cerebr palsi hi daughter jaya oh yesul is hi pride and joy jaya though is bulli at school and even wors thing happen to her wonsool later decid to get reveng on hi daughter tormentor,2017,4.7,,184.0,102,"Hak-Ryeol Yun, Jung-kyun Kim, Ye-Seol Oh"
388,388,marriage contract,famili romant,MBC,kang hye soo uee is a singl mom her husband die in an accid and she rais her littl daughter shin rin ah alon afterward she learn that she ha brain tumor she then sign a marriag contract with a rich man han ji hoon lee seo jin in order to find a guardian for her daughterjihoon lee seojin ha a cynic person due to hi famili background even though he come from a rich famili hi mother had an affair with a marri man and they had jihoon from a young age he becam separ from hi mother and began to live with hi father famili one day he learn that hi mother ha a liver diseas and she doesnt have much time left to live her onli hope is to get a liver transplant jihoon becom desper at that time he meet hyesoo uee and her daughter eunsung shin rinah hyesoo ha live alon with her daughter eunsung after her husband death she is constantli hound by loan shark due to her late husband debt hyesoo begin to work at the restaur run by jihoon she learn that she ha a brain tumor and she need money for her daughter after she pass away hyesoo overhear from jihoon that he is look for a liver donor for hi mother to make it happen legal jihoon plan to marri the donor hyesoo insist to jihoon that she want to be the donor jihoon unawar of hyesoo brain tumor accept her offer and they prepar a marriag contract note,2016,7.8,,256.0,,"Seo-jin Lee, Yu-jin Kim, Kwang-gyu Kim, Yoo-Ri Kim"
389,389,mrs. cop ,thriller crime,SBS,the drama is about a femal cop who deal with harsh crimin activ along with her superior and squad member it depict the great as well as the tough and sad side of work mom s life in korea through the stori of the elit woman detectiveaft choi young jin kim hee ae take time off from work in mr cop season go yoon jung kim sung ryung becom the new detect squad chief she return to south korea after train with the fbi in the unit statescrim drama about femal detect squad chief who also rais her daughter the joy and sorrow of be a work mom in korea are explor through the life of passion middleag femal cop,2015,7.9,,47.0,,"Seul-ong Im, Bum Kim, Sung-ryung Kim, Dam-Bi Son"
390,390,tv novel – my mind’s flower rain,histor famili,KBS2,,,,,,,
391,391,happy home,famili melodrama,MBC,happi home is base on the biggest chines restaur in chinatown south koreait s tell the stori about a famili and their happi and sad the bong famili quarrel and fight all the time but come dinnertim they are all happi and smile again thi drama look back on the true mean of famili bong hae ryung kim so yun is the eldest daughter in thi familyit look like we dont have ani plot summari for thi titl yet be the first to contribut just click the edit page button at the bottom of the page or learn more in the plot summari submiss guid,2016,6.7,,10.0,,"Hyo-Seop Ahn, Nae-sang Ahn, Yoon-So Choi, Jang In-sub"
392,392,rickety rackety family,comedi,NAVER tvcast,thi drama is about our ordinari daili life seemingli imagin a famili who ha gone bankrupt all the way come into your board hous to live what we can do best under the desper situat is to laugh,,,,,,
393,393,"please come back, mister",comedi melodrama,SBS,thi drama wa base on the japanes novel mr tsubakiyama s seven day by jiro asada which wa publish from juli to april through asahi shimbun a man is work to death but he come back to the live world in the attract bodi of anoth man for a limit amount of timele hae joon rain is a perfect man with good look appear he work as a section chief in the women s apparel section at a depart store hi bodi is actual possess by the spirit of kim young soo kim in kwon who wa work to death meanwhil hong nan oh yeon seo is a beauti woman but her spirit is possess by a tough guy han ki tak kim soo ro at the same time shin da hye lee min jung is a beauti housewif but her husband suddenli die she fall into a love triangl with lee hae joon and a promis store employe jung ji hoon yoon parkaft be work to death kim young soo kim in kwon get the chanc to live a charm life when he possess lee hae joon rain a hotti and all around perfect guy meanwhil hong nan oh yeon seo start behav as if she possess by a man and shin da hye lee min jung a widow with new romant appetit turn hae joon depart store upsid down,2016,7.5,,327.0,,"Yoon Bak, Won-young Choi, Lee Hanee, In-kwon Kim"
394,394,descendants of the sun,melodrama romant,KBS2,thi drama wa fulli preproduc befor air which is a departur from the liveshoot product format that character most korean dramasyoo shi jin song joong ki is the captain of the special forc he catch a motorcycl thief with sergeant major seo dae young jin goo the thief is injur dure hi captur and is sent to the hospit dae young realis hi cellphon wa stolen by the thief and goe to the hospit to retriev hi cellphonein the emerg room shi jin meet dr kang mo yun song hye kyo for the first time he fall in love with her immedi mo yun mistakenli assum shi jin is part of thief s crimin gang he prove to her that he is a soldier with the help of armi doctor yoon myung joo kim ji wonshi jin and mo yun begin to date but due to their job their date don t go well shi jin take an order to lead hi soldier on a peacekeep mission to the fiction countri of urk meanwhil mo yun becom upset that she fail to becom a professor due to a colleagu s privileg background when shi jin and mo yun meet again they talk about their view on life and realiz how differ they are shi jin as a soldier kill to protect live and mo yun as a doctor tri to save all live they say their goodbyeseight month later mo yun rebuff the sexual advanc of hospit chairman han suk won tae in ho and as a result is assign to lead a medic team in urk there shi jin and mo yun meet again sourcea love stori develop between captain yoo shi jin from south korean special forc and doctor kang mo yeon who work as a surgeon at haesung hospit in seoul they will find themselv in the middl of great event and deadli danger both in their motherland and in the fictiti wartorn countri of urk,2016,8.5,,4844.0,60,"Joong-Ki Song, Hye-Kyo Song, Goo-seo Jin, Ji-won Kim"
395,395,five children,famili comedi,KBS2,thi drama is about a singl father lee sang tae ahn jae wook and a singl mother ahn mi jung so yoo jin that meet each other and fall in lovesang tae a widow market manag with a son and daughter fall in love with a fellow employe mi jung a singl mother with three kid of her own togeth the coupl experi true happi while work through conflict,2016,7.5,,55.0,,"Jae-wook Ahn, Yoo-Jin So, Woo-yeon Ahn, Jung-woo Choi"
396,396,choco bank,comedi romant,NAVER tvcast,choco bank is about a guy name kim eun haeng who is a colleg graduat enter the workforc hi father made sure he had a lucki start in life by give him a name that meant money eun haeng mean bank in korean will deal with the concern mani in their s struggl with when they start work for the veri first timeand a girl name ha cho co who is get readi to start a busi the stori play out as the two meet and find out more about the financi servic industrycan everyon fulfil the destini of hi or her name kim eun haeng kai wa name after the word bank in korean but despit hi auspici name eun haeng is still struggl to land hi first job after graduat from colleg,2016,7.0,,67.0,17,"Il-hwa Lee, Jong-in Kim, Eun-bin Park, Joon-seok Yeon"
397,397,"yeah, that’s how it is",famili comedi romant,SBS,a big famili where three gener live togeth in one hous face challeng and conflict togeth to final realiz the true mean of famili,2016,8.6,,25.0,,"Yo-seob Hong, Ye-jin Im, Han Sun Jo, Hae-In Jung"
398,398,time of miracle: loss time,comedi,KBS2,a comedi about peopl who are face sudden death but are given extra time to spend befor death,,,,,,
399,399,yeong joo,famili romant,SBS,thi is a stori about peopl and a famili who onc tri to abandon their home town and chang their name and seek forgiv and repent for their act,,,,,,
400,400,heaven’s promise,reveng melodrama,KBS2,it look like we dont have ani plot summari for thi titl yet be the first to contribut just click the edit page button at the bottom of the page or learn more in the plot summari submiss guid,2016,7.6,,19.0,,"Hye-ri Kim, Jong-won Lee, Yu-ri Lee, Ha Na Park"
401,401,mystery freshman,romant school,SBS,a stori about a freshman who admit to univers with a name that s not hi own and live a fake lifeoh ah young nam ji hyun fail to enter myungsung univers again thi is her second time she ha been reject by the univers ah young lie to her famili and tell them that she got into the univers her cousin jung eun lee jin yi is a freshman at the univers and becom awar of ah young s lie jung eun ask ah young to attend her class and pretend to be her ah young meet lee min sung yun joon suk at the univers he is freshman and ha a secretayoung fail to enter myungsung univers again thi is her second time she ha been reject by the univers ayoung lie to her famili and tell them that she got into the univers her cousin jungeun is a freshman at the univers and becom awar of ayoung lie jungeun ask ayoung to attend her class and pretend to be her ayoung meet minsung at the univers he is freshman and ha a secret,2016,,,,,"Myeong Gong, Hee-jung Kim, Jini Lee, Ji-Hyun Nam"
402,402,ready for start,comedi,NAVER tvcast,base on writer lee hyun min s origin webtoon which had more than million view a day when it wa publish on naver thi black comedi is about the daili live of employe in an advertis agenc and their competit work environ,,,,,,
403,403,neighborhood hero,thriller action mysteri crime,OCN,former secret agent baek shi yoon park shi hoo is a welltrain human weapon hide hi past he buy the bar neighborhood and run it is as the owner he get close to the neighborhood regular at hi bar and sympath with their pain he then meet a young man choi chan kyoo lee soo hyuk who work as a temporari employe choi chan kyoo want to becom a polic offic baek shi yoon train him as a secret agent and they fight togeth against evil,,,,,,
404,404,signal,crime thriller fantasi,tvN,a walkietalki in the present somehow pick up signal from a detect in the past lee jae han jo jin woong polic profil park hae young lee je hoon find thi walkietalki and use it to help solv cold case detect cha soo hyun kim hye soo who wa onc a rooki at lee jae han s station lead the coldcas team thank to park hae young and lee jae han the team solv infam cold case such as the hwaseong serial murder but commun with the past ha consequencesdetect from the present and a detect from the past commun via walkietalki to solv a longtim unsolv case,2016,8.8,,1567.0,80,"Je-hoon Lee, Hye-su Kim, Jin-Woong Cho, Hyun-Sung Jang"
405,405,madame antoine,comedi romant,jTBC,thi is a romanticcomedi drama revolv around psycholog theme and viewer will get to experi a wide rang of emot as they follow the onscreen medic expert livesgo hye rim han ye seul is a famou fortunetel she is known as madam antoin and insist that she is spiritu connect to mari antoinett but that part is a lie she is abl to see through peopl s stori due to her intellig and keen sens she dream of have love in a romant film she then take part in a psycholog test project conduct by psychotherapist choi soo hyun sung joon hi goal is to prove that true love doe not exist coincident the name for hi psycholog treatment center is madam antoinea famou fortun teller who claim to be spiritu link to mari antoinett and call herself madam antoin goe headtohead with a cold psychotherapist who run a clinic also by the name madam antoin and aim to prove that true love doesnt exist,2016,6.7,,292.0,,"Ye-seul Han, Jun Sung, Tae-Hwan Choi, Eun-ji Jo"
406,406,one more happy ending,comedi romant,MBC,thi drama tell the stori of marriag remarriag and divorc at time like thi when get divorc and remarri is not a big deal men and women who want to be happi onc again get marri divorc and remarriedhan mi mo jang na ra baek da jung yoo da in go dong mi yoo in na and hong ae ran seo in young were onc member of idol group angel han mi mo now divorc and work as a repres for a remarriag consult busi she give honest answer to her custom who hope to remarri her former bandmat baek da jung is also a repres at the same compani she marri a rich man but is also divorc go dong mi is now an elementari school teacher she is singl and feel lone hong ae ran is a repres for an internet shop mall these women are still friendsmeanwhil song soo hyuk jung kyung ho is a report and a singl father he ha a friend goo hae joon kwon yool who is a doctor and singl song soo hyuk and goo hae joon becom involv with these women former member of a girl band pursu romanc with variou suitor while come to term with their wane celebr status and everevolv relationship with one anoth,2016,7.4,,171.0,70,"Na-ra Jang, Kyung-ho Jung, In-Young Seo, Kwon Yul"
407,407,moorim school,action school,KBS2,the moorim school isn t focus sole on high academ score the school teach it student virtu includ honesti faith sacrific and commun the teacher and student at the school come from differ countri and each have their own storiesyoon shi woo lee hyun woo is a troublemak idol star who suffer a setback and find himself shove into thi strang school to straighten out wang chi ang hong bin will be the roommat he strike up a friendship with he s a rich kid with a carefre person who wa let in becaus of hi power parentsmeanwhil sim soon duk seo ye ji is a hardwork student who support her blind father and ha to attend moorim in secret hwang sun ah jung yoo jin is the daughter of the school s presid and murim s ace studentmoorim school isnt focus on high academ score the school teach student virtu includ honesti faith sacrific and commun the teacher and student at the school come from differ countri with their own stori,2016,7.1,,337.0,,"Eu-Gene Jeong, Beom-su Lee, Hong-bin Lee, Hyun-woo Lee"
408,408,cheese in the trap,comedi romant,tvN,base on the origin webtoon with the same titl by soon ggi which wa publish via naver onlin from juli thi drama depict the relationship between femal univers student hong seol kim go eun and her senior yoo jung park hae jin hong seol is a hardwork student who ha return to colleg after a long break she work parttim due to her famili s poor background meanwhil yoo jung is a senior at the colleg known as mr perfect he is good look get good grade athlet and ha a kind person but he ha a dark side thi drama seri show the delic relationship between a femal univers student hong seol kim goeun and her senior yoo jung park haejin hongseol doe parttim job sinc her household is pooryoo jung is perfect with good academ and athlet plu he is kind howev he also seem to have a dark side with some peopl hold grudg over him,2016,7.5,,1706.0,,"Hae-Jin Park, Go-eun Kim, Kang-Joon Seo, Song-Kyoung Lee"
409,409,my son-in-law’s woman,famili comedi,SBS,it look like we dont have ani plot summari for thi titl yet be the first to contribut just click the edit page button at the bottom of the page or learn more in the plot summari submiss guid,2016,,,,40,"Hwang Young Hee, Jeong-hee Jang, Seung-jo Jang, Kyung-ho Jung"
410,410,the cravings ,comedi romant,NAVER tvcast,i do not eat becaus i m hungryget older doe not necessarili mean get more prosper in life for the singl ladi jae yeong deal with love career friendship and famili relationship is still difficultmov to a new neighborhood make friend with new weird peopl get a new job and encount her boyfriend s new girlfriend weren t that easi to make thing wors she suffer from a diseas that develop newli let s experi the solac of her daili warm meal that will comfort her live the tough lifeit look like we dont have ani plot summari for thi titl yet be the first to contribut just click the edit page button at the bottom of the page or learn more in the plot summari submiss guid,2013,7.3,,42.0,,"Hee-von Park, Woo-Jung Lee, Jong-hwan Park, Teo Yoo"
411,411,jang yeong sil,histor scifi polit,,drama seri follow the life jang yeong sil song il gook a scientist technician and inventor dure the joseon period jang yeong sil wa born in the lower class nobi king sejong kim sang kyung notic hi abil and bring him to the palac king sejong grant him a chanc to display hi abil he invent tool like astronom instrument iron print press and a water clockdrama seri follow the life jang yeong shil a scientist technician and inventor dure the joseon period jang yeong shil wa born in the lower class nobi king sejong notic hi abil and bring him to the palac king sejong grant him a chanc to display hi abil,2016,8.2,,51.0,,"Il-guk Song, Sang-kyung Kim, Yeong-cheol Kim, Gyu-ri Park"
412,412,puck!,sport,SBS,puck is about a man who improv the qualiti of hi life through ice hockeydu to hi exwif s debt joon man lee kwang soo had no choic but to work for a gang boss even though he ha a warm person he work as a loan shark to get debt from an ice hockey coach joon man join the ice hockey team he begin to chang after join the univers ice hockeyto pay off hi exwif debt joonman work as a loan shark for a local crime boss after a hockey coach fail to pay hi debt joonman join the univers hockey team in order to collect,2016,8.1,,25.0,,"Hwang Gyoo-In, Seo Han-Gyeol, Kim Jin-Woo, Hie-bong Jo"
413,413,"www.koreandrama.org/2015-sbs-drama-awards-winners-list/"" rel=""bookmark"" title=""permanent link to 2015 sbs drama awards ""> 2015 sbs drama awards ",nan,,,,,,,,
414,414,"www.koreandrama.org/2015-kbs-drama-awards-winners-list/"" rel=""bookmark"" title=""permanent link to 2015 kbs drama awards ""> 2015 kbs drama awards ",nan,,,,,,,,
415,415,"www.koreandrama.org/2015-mbc-drama-awards-winners-list/"" rel=""bookmark"" title=""permanent link to 2015 mbc drama awards ""> 2015 mbc drama awards ",nan,,,,,,,,
416,416,i’ve got my eye on you,drama,SBS,,,,,,,
417,417,witch’s castle,famili melodrama romant,SBS,it look like we dont have ani plot summari for thi titl yet be the first to contribut just click the edit page button at the bottom of the page or learn more in the plot summari submiss guid,"2015, 2016",,,,,"Lincoln Lambert, Danny Ahn, Il-hwa Choi, Jeong-won Choi"
418,418,splash splash love,timetravel romant fantasi,MBC,dan bi kim seul gi is a senior high school student who is also an applic for the colleg scholast abil test she gave up studi math and on the day of the test she fell into time laps and land somewher in joseon era she then fall in love with lee do yoon doo joon the king who crave matha high school student dan bi escap from her time to the joseon era where she ha to prove her knowledg to surviv,2015,7.8,,566.0,,"Ki-joo Jin, Seul-gi Kim, Doo-Joon Yoon"
419,419,cheers to me,comedi romant,UMAX &amp; O’live,base on the ongo japanes seinen manga seri wakakozak by chie shinkyu which wa first publish by tokuma shoten on monthli comic zenon magazin sinc septemberthi is a cook drama about a sentiment woman ra yeo joo yoon jin seo who love to have a drink on her own with a delici sidedish and the peopl around herther noth wrong with drink away your troubl alon after a stress day ra yeo joo yoon jin seo is in a highstress job as an editor at a busi publish compani,"2015, 2016",,,,25,"Jiyeon Shin, Bae Noo Ri, Yoon Jin Seo, Lee Jae Yoon"
420,420,remember – war of the son,law thriller melodrama,SBS,a son innoc father accus of a crime he didnt commit,"2015, 2016",7.9,,480.0,,"Seung-ho Yoo, Min-Young Park, Si-eon Lee, Min Namkoong"
421,421,best couple,famili comedi romant,MBC,thi is a drama about love and relationship from the point of view of a mother and two daughter the stori is told through their fling love and relationship and marriag and the drama will tri to tell it viewer about the trial and strife of the singl divorc and remarri women in our erahan ah reum kang min kyung is a design assist at a highend boutiqu cloth shop she is the younger daughter of a divorc woman na bo bae ha hee ra meanwhil han ah jung jo an will be her elder sister,,,,,,
422,422,imaginary cat,comedi romant fantasi,MBC every1,base on same titl webcom by kim gyung which wa publish from june to april via webtoondaumnet thi drama will be the first drama to tell the stori of cat for the first time in korea a human and a cat who have each one s own mental wound live togeth and heal the wound through the cohabitationhyun jong hyun yoo seung ho is a webtoon writer who work parttim at a bookstor becom a webtoon writer ha alway been hi dream but he ha some difficulti due to hi stubborn and selfcent person on on raini day he meet a stray cat and decid to bring it to live with him he name it bok gil and from then on he start open hi mind to the cat he work hard to make a live for hi cat bok gilth drama will also tell a stori from hyun s point of view and then also from the cat s point of view the cat ha a differ take on what s wrong with hi human s life although he can t offer hi human ani advic hyun s furri friend provid a sourc of comfort and support as he goe through difficult timeshyun jonghyun is a webtoon writer and work parttim at a bookstor he alway dream of work of as webtoon writer but he ha difficulti due to hi stubborn and selfcent person he also ha a cat name boggil he first met hi cat on the street dure a raini day sinc then they have live togeth and hyun jonghyun onli open hi mind to boggil,"2015, 2016",7.3,,60.0,,"Seung-ho Yoo, Ye-ri Han, Hye-Jung Cho, Lee El"
423,423,sweet savage family,comedi romant,MBC,thi drama is a adapt of the comedi film franchis marri the mafia yoon tae soo jung joon ho is a gang boss who domin the adult entertain district in daejeon south korea at home he is a household type of father and live with hi strong will wife kim eun ok moon jung hee who nag at him constantli a troublemak son and hi motherin a comed blend of mayhem and domest yoon tae soo jung joon ho take up not one but two highstak role head of the hous and gangster kingpin as the hardwork breadwinn of hi famili tae soo may seem like just anoth love father who tri to get by but when he say hell stop at noth to ensur hi famili happi and secur he realli mean it,"2015, 2016",6.6,,11.0,,"Min-ah Bang, Min-cheol Choi, Jun-ho Jeong, Woong-in Jeong"
424,424,oh my venus,comedi romant,KBS2,thi is a drama about two childhood friend meet again in their adulthood and find themselv make a bet on a diet challeng the stori focus on their journey of search for love and healthkim young ho so ji sub is a person trainer for hollywood star even though he come from a wealthi famili background he suffer a devast injuri dure hi childhood day now he overcom hi problem with patienc and stubborn meanwhil kang joo eun shin min ah is yearsold lawyer she ha struggl to support her famili now she is overweight and challeng herselv for a dieta lawyer in her thirti come out of a long relationship decid to regain her figur and health after meet a renown person trainer who obsess with lead a healthi lifestyl after suffer a seriou injuri in hi childhood when you go from the top of the peck order in the look depart in high school and then fall to the bottom in adulthood is it possibl to get back on top kang joo eun shin min ah wa envi by everi girl and desir by everi boy in high school as the daejeon venu becaus of her pretti face and killer figur despit come from a poor famili joo eun wa determin to go to law school and becom an attorney at age she ha achiev her profession goal and ha been in a stabl relationship with her high school boyfriend im woo sik jung gyu woon for year but she ha let herself go over the year and is now overweight and often disregard and overlook by societi and her cowork on the plane ride back from a quick busi trip to the unit state joo eun ha an embarrass runin with kim yeong ho so ji sub and hi two sidekick jang joon seong sung hoon and kim ji woong henri yeong ho is a celebr person trainer who is involv in a scandal in the unit state and forc to flee to korea until thing cool down but hi wealthi famili ha other plan for him as soon as they discov that he is back in korea hi grandmoth appoint yeong ho as the new presid of the famili medic servic compani and prevent him from return to the state a lost purs caus young ho to reconnect with joo eun and wit anoth person embarrass for joo eun in the aftermath of be dump by woo sik and find out that he ha been date her new boss oh soo jin yoo in young as it seem to becom a habit for yeong ho to bail joo eun out of troubl can he also help her to reclaim her former look,"2015, 2016",7.9,,2017.0,,"Ji-seob So, Min-a Shin, Sung Hoon, Henry Lau"
425,425,high-end crush,webdrama comedi romant,NAVER tvcast &amp; Sohu TV,thi drama is a koreanchines product webdramathi drama is the heartfelt and pure love stori by a man choi se hoon jung il woo who with everyth in hi hand who fall in love for the first time in hi life with a woman yoo yi ryung jin se yun who ha been live in complet opposit circumst from hiswhen yoo yi ryung jin se yun fall for a rich boy she quickli discov that money or the lack of it can serious complic a relationship is a priceless romanc enough to convinc choi sae hoon jung il woo to explor outsid of hi ivori tower or is he too posh to be seen on on the other side of the track with hi beauti but penniless crush kimjonghak product coltd tianjin golden fox cultur commun limit,"2015, 2016",7.6,,151.0,15,"Il-Woo Jung, Se-Yeon Jin, Hyun-Woo Park, Se-ha Ahn"
426,426,eating existence,comedi romant,NAVER tvcast,the comedi drama depict the dream love and struggl to make a live by the sampo gener who gave up on three thing courtship marriag and childbirthther isnt just one rout in life for a woman in her s yoo yang ahn young mi is a struggl writer who take great delight in food but doesnt have ani money in her bank account to allow her to eat the thing she desir when yang meet the devilishli goodlook park byeong no min woo who share her pure enjoy of food he fall for her quirki person the moment she confid order more food at a restaur,2015,7.0,,5.0,11,"Ahn Young Mi, Min-woo No"
427,427,snow lotus,melodrama romant fantasi,SBS,a fantasi melodrama about a man and a woman who reunit to fulfil a thousand year s love in their dreamsa girl and a young man dream with each other live thousand of year ago and now they will meet in real life will they recogn each other the music that enhanc the fight scene that are more like a ballet is love a love stori where realiti and dream intertwin,2015,6.7,,42.0,,"Jae-Hyun Ahn, Jin-hee Ji, Lee Ji-ah, Ji-hye Seo"
428,428,love detective sherlock k,thriller mysteri webdrama,NAVER tvcast,sherlock k is a woman disguis as a man who profil love psycholog and is commiss by chaebol min woo,,,,,,
429,429,beautiful you,famili romant,MBC,thi is the stori of variou charact who learn about love courag heal and savior in the name of famili who stand by your side in time of hardship thi drama is a beauti love stori which will comfort your exhaust soulgo minyu a girl about to becom a nun is ask to cover for her indispos twin brother minam who on the verg of becom a kidol to do so she disguis herself as a boy and join anjel a realli popular boy band,2009,7.8,,3015.0,60,"Shin-Hye Park, Keun-Suk Jang, Yong-hwa Jung, Hong-ki Lee"
430,430,riders: catch tomorrow,comedi romant,E-Channel &amp;  DRAMAcube,is the new busi idea crazi or is it just crazi enough to succeed cha ki joon kim dong wook is a welleduc young man who begin hi career in an enviabl entrylevel job at a larg corpor but he is not happi with hi life on a whim ki joon decid to quit hi job and start up a new busi with hi two childhood friend yoon so dam lee chung ah and go tae ra choi yeo jin so dam ha been work lot of differ parttim job while tri to make it as an illustr tae ra is a former cycl athlet who decid to go in with ki joon on hi new busi idea becaus it s a compani that will make rickshaw of all thing as the three friend deal with the real world chang friendship and bud relationship can their crazi busi possibl succeedi the new busi idea crazi or is it just crazi enough to succeed cha gi joon kim dong wook is a welleduc young man who begin hi career in an enviabl entrylevel job at a larg corpor but he is not happi with hi life,"2015, 2016",,,,65,"Yeo-jin Choi, Hae-yeon Kil, Hee-jin Lee, Mi-Ram"
431,431,reply 1988,famili comedi romant,tvN,a heartwarm famili drama set in the year of the stori will focu on five famili live on the same alley road wa a big year in south korea it wa the year of the seoul olymp the colleg festiv and for the first time in mani year korean could travel outsid of south korea not onli wa a big year in the world of news educ and sport it wa a big year for music in gener and kpop in particular in fact wa the year that lee soo man achiev hi dream of give south korea a tast of mtv style danc and music through the creation of sm entertain cho yong pil mona lisa kim wan sun too lone to danc alon and lee moon se sunset glow were ride high in the music world so it s no surpris that repli s third season would focu in on such a monument year as follow the live of famili live on the same street in a neighbourhood call ssangmundong in seoul it take a nostalg look back at the year,"2015, 2016",8.6,,1117.0,,"Hyeri Lee, Bo-Gum Park, Kyung-pyo Go, Jun-yeol Ryu"
432,432,the flatterer,comedi webdrama,NAVER tvcast,thi drama tell the stori about a excel student who transfer to a school that contain full of bad boyspoong lang high school is not your averag high school it is full of the worst student troublemak and former dropout,2015,6.9,,20.0,15,"Lee Jae Jin, Bo-ra Yoon, Dong-yeon Kwak"
433,433,the secret message,webdrama romant,NAVER tvcast,thi is a webdrama coproduc by south korean compani cj em and japanes compani amus incwoo hyun top is korean man and haruka juri ueno is japanes woman they live differ live but they both carri emot scar from their first love woo hyun ha yet to get over hi first love but he still want to believ in true love meanwhil haruka is a woman want answer relat to love,,,,,,
434,434,tomorrow victory,famili melodrama romant,MBC,han seung ri jun so min struggl to keep the soy sauc factori which ha been run for gener by her famili she also chang gold digger na hong joo song won geun into a better personit look like we dont have ani plot summari for thi titl yet be the first to contribut just click the edit page button at the bottom of the page or learn more in the plot summari submiss guid,"2015, 2016",,,,,"So-min Jeon, Phillip Choi, Lee Joo-Shil, Bo-Hee Lee"
435,435,"sweet home, sweet honey",famili romant,,a drama about a group of youngster who get push into societyeven though oh bom song ji eun is in a difficult financi situat she is still bright and posit she work parttim work at a factori meanwhil kang ma roo lee jae joon is a kind and simpl young man he is naiv about the worldahn tae ho kim min soo is the section chief of a compani he is an ambiti man he approach choi ah ran seo yi ahn who is the heiress of a larg compani she is smart but ha a pain past her younger sister went miss and her parent abandon herit look like we dont have ani plot summari for thi titl yet be the first to contribut just click the edit page button at the bottom of the page or learn more in the plot summari submiss guid,"2015, 2016",,,,,"Dae-chul Choi, Myeong-Gil Choi, Su-rin Choi, Da-Yeong Ju"
436,436,you will love me,comedi romant,DramaH,a romant comedi drama about a drama writer wannab park ji ho lee tae im who becom an expert in relationship advic and transform loser oh geun baek oh chang suk into a winner,,,,,,
437,437,bubblegum,comedi romant,tvN,set within the backdrop of a hospit and a radio station four peopl with differ problem get togeth and becom happierset within the backdrop of a hospit and a radio station peopl with differ problem get togeth and becom happier,2015,6.8,,84.0,,"Dong-Wook Lee, Ryeowon Jung, Chong-ok Bae, Jong-Hyuk Lee"
438,438,falling for challenges,webdrama comedi romant,NAVER tvcast,a stori of a young man and woman head for their dream through a club call one plu one when you meet the love of your life at a special place you want that place to be around forev ban ha na kim so eun is the presid of the colleg hobbi club known as one plu one,2015,6.6,,46.0,13,"Min-Seok Kim, So-eun Kim"
439,439,awl,drama human,jTBC,base on same titl origin webcom by choi kyu suk which wa first publish from dec via navercom the webcom is base on a true stori the incid occur from juli at an emart retail store temporari cashier were fire which caus a sitin protest that last for daysth drama tell the stori of averag worker who silent work hard on each one s own task they final pull togeth as a team to fight through a difficult and unfair situationle soo in ji hyun woo ha the kind of tempera where he ha to do the right thing no matter what after hi discharg from the militari he find work at a larg retail market one day hi boss order him to fire temporari employe at the store lee soo in refus to do so and decid to join the labor union he and the temporari employe struggl against unfair dismissalsle sooin is a supermarket manag with a strong moral compass after be order to sack all temp worker sooin defi hi boss and join the union togeth sooin and the temp worker fight to chang the compani labor practic,2015,7.6,,16.0,40,"Hyun-Woo Ji, Nae-sang Ahn, Hyun Woo, Jong-woon Kim"
440,440,the alchemist,melodrama romant,MBC every1,a melodrama about a twenti yearold colleg student,,,,,,
441,441,because it’s the first time,comedi melodrama romant,Onstyle,a group of young peopl gather on a rooftop and tell their stori,2015,7.7,,95.0,,"Minho Choi, So-dam Park, Yoona, Hye-Jung Cho"
442,442,the village: achiara’s secret,thriller mysteri,SBS,achiara is a quiet peac villag with hardli ani crime but on her first day of school there english languag instructor kim soyoon discov a buri corps as the town peopl specul on the ident of the dead person and the reason whi she wa kill soyoon and policeman park wooja becom determin to solv the mysteri,2015,7.3,,139.0,,"Seo-hyun Ahn, Jae-woong Choi, Hie-jin Jang, So-yeon Jang"
443,443,sassy go go,children romant school,KBS2,thi is a drama about a high school cheerlead squad itdepict the friendship and love of youth while deal with a harsh educ environ that emphas competitionkang yeon doo jung eun ji is a popular amongst her school friend for her activ and honest charact she is the leader of the cheer team and shine when she s cheer but is intimid by her statu in the school as she is in the lowest of class in a school where onli the brainiest one attendwith cheerlead as the background the drama depict the friendship and love of youth while deal with a harsh educ environ that emphas competit,2015,7.7,,474.0,,"Hak-Yeon Cha, Soo-bin Chae, Eun-ji Jung, Won-geun Lee"
